"time","sarja","values"
1999-01-01,"euribor12kk",3.213
1999-01-01,"euribor1kk",3.254
1999-01-01,"euribor1vko",3.245
1999-01-01,"euribor3kk",3.245
1999-01-01,"euribor6kk",3.233
1999-01-04,"euribor12kk",3.209
1999-01-04,"euribor1kk",3.242
1999-01-04,"euribor1vko",3.249
1999-01-04,"euribor3kk",3.234
1999-01-04,"euribor6kk",3.223
1999-01-05,"euribor12kk",3.187
1999-01-05,"euribor1kk",3.233
1999-01-05,"euribor1vko",3.241
1999-01-05,"euribor3kk",3.222
1999-01-05,"euribor6kk",3.204
1999-01-06,"euribor12kk",3.176
1999-01-06,"euribor1kk",3.226
1999-01-06,"euribor1vko",3.24
1999-01-06,"euribor3kk",3.214
1999-01-06,"euribor6kk",3.197
1999-01-07,"euribor12kk",3.158
1999-01-07,"euribor1kk",3.224
1999-01-07,"euribor1vko",3.237
1999-01-07,"euribor3kk",3.206
1999-01-07,"euribor6kk",3.179
1999-01-08,"euribor12kk",3.139
1999-01-08,"euribor1kk",3.217
1999-01-08,"euribor1vko",3.233
1999-01-08,"euribor3kk",3.196
1999-01-08,"euribor6kk",3.166
1999-01-11,"euribor12kk",3.126
1999-01-11,"euribor1kk",3.214
1999-01-11,"euribor1vko",3.232
1999-01-11,"euribor3kk",3.193
1999-01-11,"euribor6kk",3.156
1999-01-12,"euribor12kk",3.122
1999-01-12,"euribor1kk",3.213
1999-01-12,"euribor1vko",3.226
1999-01-12,"euribor3kk",3.19
1999-01-12,"euribor6kk",3.153
1999-01-13,"euribor12kk",3.107
1999-01-13,"euribor1kk",3.206
1999-01-13,"euribor1vko",3.214
1999-01-13,"euribor3kk",3.183
1999-01-13,"euribor6kk",3.141
1999-01-14,"euribor12kk",3.083
1999-01-14,"euribor1kk",3.191
1999-01-14,"euribor1vko",3.2
1999-01-14,"euribor3kk",3.163
1999-01-14,"euribor6kk",3.121
1999-01-15,"euribor12kk",3.044
1999-01-15,"euribor1kk",3.159
1999-01-15,"euribor1vko",3.161
1999-01-15,"euribor3kk",3.134
1999-01-15,"euribor6kk",3.085
1999-01-18,"euribor12kk",3.02
1999-01-18,"euribor1kk",3.12
1999-01-18,"euribor1vko",3.109
1999-01-18,"euribor3kk",3.101
1999-01-18,"euribor6kk",3.056
1999-01-19,"euribor12kk",2.984
1999-01-19,"euribor1kk",3.074
1999-01-19,"euribor1vko",3.061
1999-01-19,"euribor3kk",3.056
1999-01-19,"euribor6kk",3.018
1999-01-20,"euribor12kk",2.985
1999-01-20,"euribor1kk",3.074
1999-01-20,"euribor1vko",3.061
1999-01-20,"euribor3kk",3.054
1999-01-20,"euribor6kk",3.014
1999-01-21,"euribor12kk",2.99
1999-01-21,"euribor1kk",3.074
1999-01-21,"euribor1vko",3.07
1999-01-21,"euribor3kk",3.056
1999-01-21,"euribor6kk",3.017
1999-01-22,"euribor12kk",2.99
1999-01-22,"euribor1kk",3.086
1999-01-22,"euribor1vko",3.091
1999-01-22,"euribor3kk",3.059
1999-01-22,"euribor6kk",3.018
1999-01-25,"euribor12kk",2.981
1999-01-25,"euribor1kk",3.111
1999-01-25,"euribor1vko",3.123
1999-01-25,"euribor3kk",3.069
1999-01-25,"euribor6kk",3.016
1999-01-26,"euribor12kk",2.984
1999-01-26,"euribor1kk",3.134
1999-01-26,"euribor1vko",3.18
1999-01-26,"euribor3kk",3.08
1999-01-26,"euribor6kk",3.02
1999-01-27,"euribor12kk",2.986
1999-01-27,"euribor1kk",3.126
1999-01-27,"euribor1vko",3.147
1999-01-27,"euribor3kk",3.08
1999-01-27,"euribor6kk",3.02
1999-01-28,"euribor12kk",2.981
1999-01-28,"euribor1kk",3.123
1999-01-28,"euribor1vko",3.14
1999-01-28,"euribor3kk",3.077
1999-01-28,"euribor6kk",3.017
1999-01-29,"euribor12kk",2.981
1999-01-29,"euribor1kk",3.119
1999-01-29,"euribor1vko",3.136
1999-01-29,"euribor3kk",3.074
1999-01-29,"euribor6kk",3.011
1999-02-01,"euribor12kk",2.988
1999-02-01,"euribor1kk",3.126
1999-02-01,"euribor1vko",3.145
1999-02-01,"euribor3kk",3.078
1999-02-01,"euribor6kk",3.017
1999-02-02,"euribor12kk",3.004
1999-02-02,"euribor1kk",3.142
1999-02-02,"euribor1vko",3.158
1999-02-02,"euribor3kk",3.091
1999-02-02,"euribor6kk",3.028
1999-02-03,"euribor12kk",3.012
1999-02-03,"euribor1kk",3.151
1999-02-03,"euribor1vko",3.169
1999-02-03,"euribor3kk",3.098
1999-02-03,"euribor6kk",3.035
1999-02-04,"euribor12kk",3.02
1999-02-04,"euribor1kk",3.157
1999-02-04,"euribor1vko",3.174
1999-02-04,"euribor3kk",3.105
1999-02-04,"euribor6kk",3.043
1999-02-05,"euribor12kk",3.026
1999-02-05,"euribor1kk",3.156
1999-02-05,"euribor1vko",3.169
1999-02-05,"euribor3kk",3.107
1999-02-05,"euribor6kk",3.044
1999-02-08,"euribor12kk",3.036
1999-02-08,"euribor1kk",3.158
1999-02-08,"euribor1vko",3.168
1999-02-08,"euribor3kk",3.113
1999-02-08,"euribor6kk",3.053
1999-02-09,"euribor12kk",3.041
1999-02-09,"euribor1kk",3.157
1999-02-09,"euribor1vko",3.164
1999-02-09,"euribor3kk",3.112
1999-02-09,"euribor6kk",3.054
1999-02-10,"euribor12kk",3.039
1999-02-10,"euribor1kk",3.151
1999-02-10,"euribor1vko",3.157
1999-02-10,"euribor3kk",3.109
1999-02-10,"euribor6kk",3.052
1999-02-11,"euribor12kk",3.041
1999-02-11,"euribor1kk",3.146
1999-02-11,"euribor1vko",3.148
1999-02-11,"euribor3kk",3.106
1999-02-11,"euribor6kk",3.051
1999-02-12,"euribor12kk",3.039
1999-02-12,"euribor1kk",3.135
1999-02-12,"euribor1vko",3.135
1999-02-12,"euribor3kk",3.1
1999-02-12,"euribor6kk",3.049
1999-02-15,"euribor12kk",3.041
1999-02-15,"euribor1kk",3.123
1999-02-15,"euribor1vko",3.124
1999-02-15,"euribor3kk",3.099
1999-02-15,"euribor6kk",3.048
1999-02-16,"euribor12kk",3.038
1999-02-16,"euribor1kk",3.113
1999-02-16,"euribor1vko",3.104
1999-02-16,"euribor3kk",3.092
1999-02-16,"euribor6kk",3.044
1999-02-17,"euribor12kk",3.034
1999-02-17,"euribor1kk",3.103
1999-02-17,"euribor1vko",3.088
1999-02-17,"euribor3kk",3.086
1999-02-17,"euribor6kk",3.04
1999-02-18,"euribor12kk",3.031
1999-02-18,"euribor1kk",3.093
1999-02-18,"euribor1vko",3.081
1999-02-18,"euribor3kk",3.079
1999-02-18,"euribor6kk",3.035
1999-02-19,"euribor12kk",3.03
1999-02-19,"euribor1kk",3.092
1999-02-19,"euribor1vko",3.082
1999-02-19,"euribor3kk",3.077
1999-02-19,"euribor6kk",3.033
1999-02-22,"euribor12kk",3.025
1999-02-22,"euribor1kk",3.093
1999-02-22,"euribor1vko",3.087
1999-02-22,"euribor3kk",3.075
1999-02-22,"euribor6kk",3.029
1999-02-23,"euribor12kk",3.023
1999-02-23,"euribor1kk",3.098
1999-02-23,"euribor1vko",3.106
1999-02-23,"euribor3kk",3.076
1999-02-23,"euribor6kk",3.026
1999-02-24,"euribor12kk",3.023
1999-02-24,"euribor1kk",3.102
1999-02-24,"euribor1vko",3.116
1999-02-24,"euribor3kk",3.079
1999-02-24,"euribor6kk",3.027
1999-02-25,"euribor12kk",3.036
1999-02-25,"euribor1kk",3.111
1999-02-25,"euribor1vko",3.12
1999-02-25,"euribor3kk",3.087
1999-02-25,"euribor6kk",3.038
1999-02-26,"euribor12kk",3.071
1999-02-26,"euribor1kk",3.12
1999-02-26,"euribor1vko",3.126
1999-02-26,"euribor3kk",3.098
1999-02-26,"euribor6kk",3.055
1999-03-01,"euribor12kk",3.079
1999-03-01,"euribor1kk",3.122
1999-03-01,"euribor1vko",3.129
1999-03-01,"euribor3kk",3.099
1999-03-01,"euribor6kk",3.059
1999-03-02,"euribor12kk",3.148
1999-03-02,"euribor1kk",3.13
1999-03-02,"euribor1vko",3.134
1999-03-02,"euribor3kk",3.115
1999-03-02,"euribor6kk",3.1
1999-03-03,"euribor12kk",3.146
1999-03-03,"euribor1kk",3.123
1999-03-03,"euribor1vko",3.123
1999-03-03,"euribor3kk",3.112
1999-03-03,"euribor6kk",3.099
1999-03-04,"euribor12kk",3.151
1999-03-04,"euribor1kk",3.115
1999-03-04,"euribor1vko",3.111
1999-03-04,"euribor3kk",3.111
1999-03-04,"euribor6kk",3.102
1999-03-05,"euribor12kk",3.13
1999-03-05,"euribor1kk",3.109
1999-03-05,"euribor1vko",3.105
1999-03-05,"euribor3kk",3.104
1999-03-05,"euribor6kk",3.092
1999-03-08,"euribor12kk",3.097
1999-03-08,"euribor1kk",3.1
1999-03-08,"euribor1vko",3.095
1999-03-08,"euribor3kk",3.093
1999-03-08,"euribor6kk",3.068
1999-03-09,"euribor12kk",3.084
1999-03-09,"euribor1kk",3.095
1999-03-09,"euribor1vko",3.087
1999-03-09,"euribor3kk",3.087
1999-03-09,"euribor6kk",3.061
1999-03-10,"euribor12kk",3.078
1999-03-10,"euribor1kk",3.086
1999-03-10,"euribor1vko",3.073
1999-03-10,"euribor3kk",3.081
1999-03-10,"euribor6kk",3.055
1999-03-11,"euribor12kk",3.072
1999-03-11,"euribor1kk",3.076
1999-03-11,"euribor1vko",3.061
1999-03-11,"euribor3kk",3.074
1999-03-11,"euribor6kk",3.05
1999-03-12,"euribor12kk",3.029
1999-03-12,"euribor1kk",3.047
1999-03-12,"euribor1vko",3.036
1999-03-12,"euribor3kk",3.047
1999-03-12,"euribor6kk",3.024
1999-03-15,"euribor12kk",3.026
1999-03-15,"euribor1kk",3.038
1999-03-15,"euribor1vko",3.022
1999-03-15,"euribor3kk",3.039
1999-03-15,"euribor6kk",3.015
1999-03-16,"euribor12kk",3.027
1999-03-16,"euribor1kk",3.036
1999-03-16,"euribor1vko",3.02
1999-03-16,"euribor3kk",3.036
1999-03-16,"euribor6kk",3.015
1999-03-17,"euribor12kk",3.027
1999-03-17,"euribor1kk",3.042
1999-03-17,"euribor1vko",3.039
1999-03-17,"euribor3kk",3.038
1999-03-17,"euribor6kk",3.017
1999-03-18,"euribor12kk",3.019
1999-03-18,"euribor1kk",3.037
1999-03-18,"euribor1vko",3.032
1999-03-18,"euribor3kk",3.032
1999-03-18,"euribor6kk",3.01
1999-03-19,"euribor12kk",3.012
1999-03-19,"euribor1kk",3.031
1999-03-19,"euribor1vko",3.016
1999-03-19,"euribor3kk",3.027
1999-03-19,"euribor6kk",3.003
1999-03-22,"euribor12kk",3.009
1999-03-22,"euribor1kk",3.025
1999-03-22,"euribor1vko",3.017
1999-03-22,"euribor3kk",3.02
1999-03-22,"euribor6kk",2.999
1999-03-23,"euribor12kk",3.011
1999-03-23,"euribor1kk",3.024
1999-03-23,"euribor1vko",3.025
1999-03-23,"euribor3kk",3.019
1999-03-23,"euribor6kk",2.999
1999-03-24,"euribor12kk",3.01
1999-03-24,"euribor1kk",3.02
1999-03-24,"euribor1vko",3.021
1999-03-24,"euribor3kk",3.014
1999-03-24,"euribor6kk",2.995
1999-03-25,"euribor12kk",2.992
1999-03-25,"euribor1kk",3.008
1999-03-25,"euribor1vko",3.014
1999-03-25,"euribor3kk",2.998
1999-03-25,"euribor6kk",2.975
1999-03-26,"euribor12kk",2.985
1999-03-26,"euribor1kk",3.004
1999-03-26,"euribor1vko",3.013
1999-03-26,"euribor3kk",2.991
1999-03-26,"euribor6kk",2.967
1999-03-29,"euribor12kk",2.985
1999-03-29,"euribor1kk",3.002
1999-03-29,"euribor1vko",3.011
1999-03-29,"euribor3kk",2.985
1999-03-29,"euribor6kk",2.963
1999-03-30,"euribor12kk",2.978
1999-03-30,"euribor1kk",2.998
1999-03-30,"euribor1vko",3.012
1999-03-30,"euribor3kk",2.981
1999-03-30,"euribor6kk",2.956
1999-03-31,"euribor12kk",2.967
1999-03-31,"euribor1kk",2.992
1999-03-31,"euribor1vko",3.011
1999-03-31,"euribor3kk",2.971
1999-03-31,"euribor6kk",2.95
1999-04-01,"euribor12kk",2.939
1999-04-01,"euribor1kk",2.963
1999-04-01,"euribor1vko",3.001
1999-04-01,"euribor3kk",2.942
1999-04-01,"euribor6kk",2.92
1999-04-02,"euribor12kk",2.932
1999-04-02,"euribor1kk",2.952
1999-04-02,"euribor1vko",2.998
1999-04-02,"euribor3kk",2.929
